Page Name,Word-Level Accuracy,Character-Level Accuracy,Word-Level Errors,Character-Level Errors
page-201,100,100,0,0
page-202,100,100,0,0
page-203,100,100,0,0
page-204,100,100,0,0
page-205,100,100,0,0
page-206,100,100,0,0
page-207,100,100,0,0
page-208,100,100,0,0
page-209,100,100,0,0
page-210,100,100,0,0
page-211,100,100,0,0
page-212,100,100,0,0
page-213,100,100,0,0
page-214,100,0,0,0
page-215,100,100,0,0
page-216,100,100,0,0
page-217,100,100,0,0
page-218,100,100,0,0
page-219,100,100,0,0
page-220,100,100,0,0
page-221,100,100,0,0
page-301,100,100,0,0
page-302,100,100,0,0
page-303,98.96,99.56,2,4
page-304,100,100,0,0
page-305,100,100,0,0
page-306,97.77,99.31,4,7
page-307,100,100,0,0
page-308,100,100,0,0
page-309,91.45,89.96,13,80
page-310,99.31,99.1,1,7
page-311,99.49,99.8,1,2
 ,Average Accuracy (Word level),Average Accuracy (Character-Level),Average Errors (Word level),Average Errors (Character-Level),
 ,99.5931,96.4916,0,3
