Page Name,Word-Level Accuracy,Character-Level Accuracy,Word-Level Errors,Character-Level Errors
page-178,100,100,0,0
page-179,100,100,0,0
page-180,100,100,0,0
page-181,100,100,0,0
page-182,100,100,0,0
page-183,100,100,0,0
page-184,100,100,0,0
page-185,100,100,0,0
page-186,100,100,0,0
page-187,100,100,0,0
page-188,100,100,0,0
page-189,100,100,0,0
page-190,100,100,0,0
page-191,100,100,0,0
page-192,100,100,0,0
page-193,100,100,0,0
page-194,100,100,0,0
page-195,100,100,0,0
page-196,100,100,0,0
page-197,100,100,0,0
page-198,100,100,0,0
page-199,100,100,0,0
page-200,100,100,0,0
page-201,100,100,0,0
page-202,100,100,0,0
page-203,100,100,0,0
page-204,100,100,0,0
page-205,100,100,0,0
page-206,100,100,0,0
page-207,100,100,0,0
page-208,100,100,0,0
page-209,100,100,0,0
page-210,100,100,0,0
page-211,100,100,0,0
page-212,100,100,0,0
page-213,100,100,0,0
page-214,100,0,0,0
page-215,100,100,0,0
page-216,100,100,0,0
page-217,100,100,0,0
page-218,100,100,0,0
page-219,100,100,0,0
page-220,100,100,0,0
page-221,100,100,0,0
 ,Average Accuracy (Word level),Average Accuracy (Character-Level),Average Errors (Word level),Average Errors (Character-Level),
 ,100,97.7273,0,0
